,Timestamp,InventoryType,Ad - Length,Ad- Width,Ad Size,Ad Type,Platform,Device Type,Format,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Fee,Revenue,CTR,CPM,CPC,Cluster_km,SSamp
229,2020-9-5-14,Format4,120,600,72000,Inter228,Video,Mobile,Video,88,18,17,5,0.34,0.35,0.22,29.41,20.0,0.07,2,0.5225975152476573
230,2020-10-31-12,Format5,720,300,216000,Inter228,Video,Mobile,Video,41,29,21,4,0.35,0.35,0.22,19.05,16.67,0.09,0,0.37440945667063885
231,2020-9-5-16,Format4,120,600,72000,Inter229,Video,Desktop,Video,204,38,36,6,0.35,0.35,0.23,16.67,9.72,0.06,2,0.6531255965241046
232,2020-9-5-22,Format4,120,600,72000,Inter229,Video,Desktop,Video,212,35,33,12,0.35,0.35,0.23,36.36,10.61,0.03,2,0.46276190504113485
233,2020-10-18-13,Format5,720,300,216000,Inter217,Web,Desktop,Display,88,50,40,4,0.35,0.35,0.23,10.0,8.75,0.09,0,0.4439953231889633
234,2020-11-20-16,Format6,336,250,84000,Inter219,Video,Desktop,Video,54,34,34,4,0.35,0.35,0.23,11.76,10.29,0.09,2,0.15176482049239223
235,2020-9-11-1,Format4,120,600,72000,inter230,Video,Mobile,Display,243,47,43,5,0.37,0.35,0.24,11.63,8.6,0.07,2,0.6352195970751775
236,2020-9-5-15,Format4,120,600,72000,Inter226,Web,Mobile,Display,160,41,39,11,0.38,0.35,0.25,28.21,9.74,0.03,2,0.5292186059968605
237,2020-10-1-3,Format6,336,250,84000,inter230,Video,Mobile,Display,215,40,34,3,0.38,0.35,0.25,8.82,11.18,0.13,2,0.1417127385390861
238,2020-10-5-9,Format1,300,250,75000,inter230,Video,Mobile,Video,2190,480,474,2,0.38,0.35,0.25,0.42,0.8,0.19,3,0.20339830371705145
239,2020-10-9-2,Format4,120,600,72000,Inter221,App,Mobile,Display,312,66,61,7,0.39,0.35,0.25,11.48,6.39,0.06,2,0.5884476453660308
240,2020-10-25-15,Format5,720,300,216000,Inter220,Web,Mobile,Display,123,57,48,6,0.38,0.35,0.25,12.5,7.92,0.06,0,0.44132801670833277
241,2020-9-5-21,Format4,120,600,72000,Inter227,App,Mobile,Video,221,45,42,10,0.39,0.35,0.26,23.81,9.29,0.04,2,0.5837054118278946
242,2020-11-22-21,Format4,120,600,72000,Inter223,Web,Mobile,Video,97,49,48,6,0.4,0.35,0.26,12.5,8.33,0.07,2,0.6339768537803393
243,2020-11-22-23,Format4,120,600,72000,Inter227,App,Mobile,Display,47,22,22,7,0.4,0.35,0.26,31.82,18.18,0.06,2,0.49794482018521125
244,2020-9-19-4,Format4,120,600,72000,Inter221,App,Mobile,Video,143,27,25,6,0.4,0.35,0.26,24.0,16.0,0.07,2,0.6183491979424961
245,2020-9-8-15,Format4,120,600,72000,Inter217,Web,Desktop,Display,157,33,30,12,0.43,0.35,0.28,40.0,14.33,0.04,2,0.478897043998682
246,2020-11-24-15,Format4,120,600,72000,Inter222,Video,Desktop,Display,29,18,18,4,0.43,0.35,0.28,22.22,23.89,0.11,2,0.5499479926045592
247,2020-9-5-6,Format5,720,300,216000,Inter229,Video,Desktop,Video,34,24,21,5,0.45,0.35,0.29,23.81,21.43,0.09,0,0.2731517680470288
248,2020-9-6-18,Format4,120,600,72000,Inter219,Video,Desktop,Video,240,56,54,17,0.47,0.35,0.3,31.48,8.7,0.03,2,0.4726292296522972
249,2020-9-8-18,Format4,120,600,72000,Inter224,Web,Desktop,Display,292,74,74,15,0.47,0.35,0.3,20.27,6.35,0.03,2,0.5692580585221386
250,2020-11-24-0,Format4,120,600,72000,Inter223,Web,Mobile,Display,16,9,9,3,0.46,0.35,0.3,33.33,51.11,0.15,2,0.3856364584028855
251,2020-9-10-22,Format4,120,600,72000,Inter224,Web,Desktop,Display,786,65,63,9,0.47,0.35,0.3,14.29,7.46,0.05,2,0.6179377602118418
252,2020-11-23-19,Format4,120,600,72000,Inter218,App,Mobile,Video,73,35,34,5,0.46,0.35,0.3,14.71,13.53,0.09,2,0.6886314512218791
253,2020-9-3-6,Format1,300,250,75000,Inter224,Web,Desktop,Display,1251,181,180,1,0.47,0.35,0.31,0.56,2.61,0.47,3,0.2705173215161819
254,2020-9-7-20,Format4,120,600,72000,Inter228,Video,Mobile,Video,244,35,34,13,0.48,0.35,0.31,38.24,14.12,0.04,2,0.4784913684931573
255,2020-9-13-4,Format4,120,600,72000,Inter225,Video,Mobile,Video,261,40,40,12,0.48,0.35,0.31,30.0,12.0,0.04,2,0.520653547051261
256,2020-10-13-18,Format1,300,250,75000,Inter223,Web,Mobile,Display,2365,248,243,1,0.5,0.35,0.32,0.41,2.06,0.5,3,0.2898029704754236
257,2020-9-8-9,Format4,120,600,72000,Inter221,App,Mobile,Display,72,24,24,8,0.49,0.35,0.32,33.33,20.42,0.06,2,0.46736200468722217
258,2020-9-26-19,Format1,300,250,75000,Inter223,Web,Mobile,Video,1873,355,351,1,0.49,0.35,0.32,0.28,1.4,0.49,3,0.298185434747772
259,2020-9-1-16,Format6,336,250,84000,Inter225,Video,Mobile,Video,40,28,25,3,0.5,0.35,0.33,12.0,20.0,0.17,2,0.18497712221158885
260,2020-10-2-1,Format4,120,600,72000,Inter227,App,Mobile,Display,534,129,115,2,0.51,0.35,0.33,1.74,4.43,0.26,2,0.30366463392378956
261,2020-9-5-13,Format4,120,600,72000,inter230,Video,Mobile,Video,94,26,25,5,0.53,0.35,0.34,20.0,21.2,0.11,2,0.6042297057734178
262,2020-11-23-0,Format4,120,600,72000,Inter228,Video,Mobile,Video,41,29,28,6,0.53,0.35,0.34,21.43,18.93,0.09,2,0.6249919424776099
263,2020-11-16-10,Format6,336,250,84000,Inter221,App,Mobile,Video,71,40,36,6,0.53,0.35,0.35,16.67,14.72,0.09,2,0.19615109108120024
264,2020-9-20-15,Format5,720,300,216000,Inter229,Video,Desktop,Display,168,100,87,9,0.54,0.35,0.35,10.34,6.21,0.06,0,0.4254470450165759
265,2020-10-11-11,Format5,720,300,216000,Inter225,Video,Mobile,Video,59,33,30,6,0.53,0.35,0.35,20.0,17.67,0.09,0,0.35385847693940825
266,2020-9-7-19,Format4,120,600,72000,Inter220,Web,Mobile,Video,227,43,40,18,0.56,0.35,0.36,45.0,14.0,0.03,2,0.4777992886658724
267,2020-9-30-1,Format1,300,250,75000,Inter229,Video,Desktop,Display,713,161,149,1,0.55,0.35,0.36,0.67,3.69,0.55,3,0.27245361920386774
268,2020-11-15-22,Format6,336,250,84000,Inter226,Web,Mobile,Display,84,44,43,12,0.55,0.35,0.36,27.91,12.79,0.05,2,0.1770303630676215
269,2020-9-8-11,Format4,120,600,72000,Inter217,Web,Desktop,Display,110,32,30,8,0.57,0.35,0.37,26.67,19.0,0.07,2,0.5665507158436609
270,2020-9-19-3,Format4,120,600,72000,Inter220,Web,Mobile,Display,184,30,30,8,0.57,0.35,0.37,26.67,19.0,0.07,2,0.5665506849721561
271,2020-10-22-7,Format5,720,300,216000,Inter218,App,Mobile,Display,43,27,25,7,0.59,0.35,0.38,28.0,23.6,0.08,0,0.21451565173478163
272,2020-9-1-21,Format7,300,600,180000,Inter223,Web,Mobile,Video,2221,378,364,1,0.6,0.35,0.39,0.27,1.65,0.6,2,0.05450558218030966
273,2020-9-27-10,Format5,720,300,216000,Inter221,App,Mobile,Video,84,60,49,7,0.6,0.35,0.39,14.29,12.24,0.09,0,0.44703397053041993
274,2020-10-11-5,Format4,120,600,72000,Inter221,App,Mobile,Display,201,64,58,11,0.61,0.35,0.4,18.97,10.52,0.06,2,0.650252881264068
275,2020-9-10-8,Format4,120,600,72000,Inter221,App,Mobile,Video,480,59,56,8,0.63,0.35,0.41,14.29,11.25,0.08,2,0.6775970773303435
276,2020-10-3-3,Format4,120,600,72000,Inter222,Video,Desktop,Display,198,39,37,7,0.65,0.35,0.42,18.92,17.57,0.09,2,0.6563750743099969
